# Group A of the 55 DoE-selected low-cost PurpleAir units (source_docs/PM25_Sensor_Deployment_Plan.md).
# Units paired with EXISTING DoE CAMS / C-CAMS stations.
# 31 units = 7 urban CAMS+SAS colocations + 7 rural counterparts (A.1, 7 pairs)
#            + 16 single rural sites + 1 urban-only site (Satkhira)  (A.2, 17 rows)
# Source: DoE "Proposed Monitoring Locations v2" table.
# Urban CAMS+SAS rows carry no coordinates in the source doc; lat/lon here are taken
# from the associated CAMS station in data/existing/doe_cams.csv (coord_precision=derived).
id,doe_group,pair_id,role,name,area_type,division,district,lat,lon,associated_station,school,status,coord_precision,notes
DP-A01,A.1,P1,cams_colocated,Farmgate CAMS+SAS (calibration reference),urban,Dhaka,Dhaka,23.759410,90.388679,CAMS-2 Farmgate + SAS Aria,,proposed,derived,"Existing CAMS+SAS; urban calibration reference for the Keraniganj rural unit"
DP-A02,A.1,P2,cams_colocated,TV Centre Khulshi CAMS+SAS (calibration reference),urban,Chattogram,Chattogram,22.360487,91.800454,CAMS-6 TV Station Khulshi + SAS Aria,,proposed,derived,"Existing CAMS+SAS; urban calibration reference for the Chattogram rural unit"
DP-A03,A.1,P3,cams_colocated,Sapura Rajshahi CAMS+SAS (calibration reference),urban,Rajshahi,Rajshahi,24.383320,88.608007,CAMS-9 Sapura + SAS Aria,,proposed,derived,"Existing CAMS+SAS; urban calibration reference for the Rajshahi rural unit"
DP-A04,A.1,P4,cams_colocated,Boyra Khulna CAMS+SAS (calibration reference),urban,Khulna,Khulna,22.835775,89.529056,CAMS-8 Boyra + SAS Aria,,proposed,derived,"Existing CAMS+SAS; urban calibration reference for the Khulna rural unit"
DP-A05,A.1,P5,cams_colocated,Red Crescent Campus Sylhet CAMS+SAS (calibration reference),urban,Sylhet,Sylhet,24.888334,91.867347,CAMS-10 Red Crescent Campus + SAS Aria,,proposed,derived,"Existing CAMS+SAS; urban calibration reference for the Sylhet rural unit"
DP-A06,A.1,P6,cams_colocated,DoE Divisional HQ Mymensingh CAMS+SAS (calibration reference),urban,Mymensingh,Mymensingh,24.762458,90.402102,CAMS-12 DoE Office Divisional HQ + SAS Aria,,proposed,derived,"Existing CAMS+SAS; urban calibration reference for the Mymensingh rural unit"
DP-A07,A.1,P7,cams_colocated,BTV Rangpur CAMS+SAS (calibration reference),urban,Rangpur,Rangpur,25.747371,89.228931,CAMS-13 BTV Rangpur Station + SAS Aria,,proposed,derived,"Existing CAMS+SAS; urban calibration reference for the Rangpur rural unit"
DP-A08,A.1,P1,new_rural,Keraniganj rural site,rural,Dhaka,Dhaka,23.6952739,90.4102807,Calibrated vs CAMS-2 Farmgate + SAS,Khejurbag Government Primary School,proposed,approx,"Rural counterpart of pair P1"
DP-A09,A.1,P2,new_rural,Chattogram rural site,rural,Chattogram,Chattogram,22.3645883,91.8351576,Calibrated vs CAMS-6 TV Centre + SAS,Ahmed Mia Government Primary School,proposed,approx,"School is still city-area - true rural periphery site TBD by field team"
DP-A10,A.1,P3,new_rural,Rajshahi rural site,rural,Rajshahi,Rajshahi,24.3771875,88.5530781,Calibrated vs CAMS-9 Sapura + SAS,Raypara Government Primary School,proposed,approx,"Rural counterpart of pair P3"
DP-A11,A.1,P4,new_rural,Khulna rural site,rural,Khulna,Khulna,22.8720426,89.5099489,Calibrated vs CAMS-8 Boyra + SAS,Gaikur Government Primary School,proposed,approx,"Rural counterpart of pair P4"
DP-A12,A.1,P5,new_rural,Sylhet rural site,rural,Sylhet,Sylhet,24.8928278,91.8693901,Calibrated vs CAMS-10 Red Crescent + SAS,Government Kindergarten Elementary School,proposed,approx,"Nearest identifiable school is fairly central - verify a more rural option in the field"
DP-A13,A.1,P6,new_rural,Mymensingh rural site,rural,Mymensingh,Mymensingh,24.758065,90.3932233,Calibrated vs CAMS-12 DoE Divisional HQ + SAS,Sanki Para Government Primary School,proposed,approx,"Rural counterpart of pair P6"
DP-A14,A.1,P7,new_rural,Rangpur rural site,rural,Rangpur,Rangpur,25.7410464,89.2589524,Calibrated vs CAMS-13 BTV Rangpur + SAS,Nurpur Government Primary School,proposed,approx,"Rural counterpart of pair P7"
