station_id,network,operator,name,city,division,lat,lon,monitor_type,coord_precision,source_url,notes
CAMS-1,DOE CAMS,Department of Environment,Dept of Environment HQ,Dhaka,Dhaka,23.777394,90.372603,reference,exact,https://doe.portal.gov.bd,"Est. 2012; UB/Res; Agargaon; PM10 PM2.5 SO2 CO O3 NOx + met"
CAMS-2,DOE CAMS,Department of Environment,Farmgate,Dhaka,Dhaka,23.759410,90.388679,reference,exact,https://doe.portal.gov.bd,"Est. 2008; Rd/Com"
CAMS-3,DOE CAMS,Department of Environment,Darussalam,Dhaka,Dhaka,23.780775,90.355410,reference,exact,https://doe.portal.gov.bd,"Est. 2012; UB/Com"
CAMS-4,DOE CAMS,Department of Environment,Gazipur,Gazipur,Dhaka,23.994128,90.422315,reference,exact,https://doe.portal.gov.bd,"Est. 2012; SUB"
CAMS-5,DOE CAMS,Department of Environment,Narayanganj,Narayanganj,Dhaka,23.626079,90.507200,reference,exact,https://doe.portal.gov.bd,"Est. 2012; UB/Industry"
CAMS-6,DOE CAMS,Department of Environment,TV Station Khulshi,Chattogram,Chattogram,22.360487,91.800454,reference,exact,https://doe.portal.gov.bd,"Est. 2006; UB"
CAMS-7,DOE CAMS,Department of Environment,Agrabad,Chattogram,Chattogram,22.323020,91.802336,reference,exact,https://doe.portal.gov.bd,"Est. 2012; UB/Res"
CAMS-8,DOE CAMS,Department of Environment,Boyra,Khulna,Khulna,22.835775,89.529056,reference,exact,https://doe.portal.gov.bd,"Est. 2008; UB"
CAMS-9,DOE CAMS,Department of Environment,Sapura,Rajshahi,Rajshahi,24.383320,88.608007,reference,exact,https://doe.portal.gov.bd,"Est. 2008; Rd/Res"
CAMS-10,DOE CAMS,Department of Environment,Red Crescent Campus,Sylhet,Sylhet,24.888334,91.867347,reference,exact,https://doe.portal.gov.bd,"Est. 2012; Rd/UB/Res"
CAMS-11,DOE CAMS,Department of Environment,DFO Office Campus,Barishal,Barishal,22.710287,90.362598,reference,exact,https://doe.portal.gov.bd,"Est. 2012; UB/Res"
CAMS-12,DOE CAMS,Department of Environment,DoE Office Divisional HQ,Mymensingh,Mymensingh,24.762458,90.402102,reference,exact,https://doe.portal.gov.bd,"Est. 2019; UB"
CAMS-13,DOE CAMS,Department of Environment,BTV Rangpur Station,Rangpur,Rangpur,25.747371,89.228931,reference,exact,https://doe.portal.gov.bd,"Est. 2019; UB"
CAMS-14,DOE CAMS,Department of Environment,Atomic Energy Research Institute,Savar,Dhaka,23.953704,90.279794,reference,exact,https://doe.portal.gov.bd,"Est. 2019; SUB"
CAMS-15,DOE CAMS,Department of Environment,Sadar Upazila Complex,Narsingdi,Dhaka,23.932456,90.716598,reference,exact,https://doe.portal.gov.bd,"Est. 2019; SUB"
CAMS-16,DOE CAMS,Department of Environment,Court Area,Cumilla,Chattogram,23.472988,91.180671,reference,exact,https://doe.portal.gov.bd,"Est. 2019; UB"
