station_id,network,operator,name,city,division,lat,lon,monitor_type,coord_precision,source_url,notes
C-CAMS-17,DOE C-CAMS,Department of Environment,Sadar Faridpur (Municipal Office),Faridpur,Dhaka,23.606411,89.838819,reference,exact,https://doe.portal.gov.bd,"Est. 2020; SUB"
C-CAMS-18,DOE C-CAMS,Department of Environment,Sadar Jashore (Circuit House),Jashore,Khulna,23.162216,89.206370,reference,exact,https://doe.portal.gov.bd,"Est. 2020; SUB"
C-CAMS-19,DOE C-CAMS,Department of Environment,Shyamnagar Satkhira,Satkhira,Khulna,22.315996,89.043170,reference,exact,https://doe.portal.gov.bd,"Est. 2020; Rural"
C-CAMS-20,DOE C-CAMS,Department of Environment,Rampal Bagerhat (Maitree Super Thermal Power Project),Bagerhat,Khulna,22.596086,89.553720,reference,exact,https://doe.portal.gov.bd,"Est. 2020; Rural/Industrial"
C-CAMS-21,DOE C-CAMS,Department of Environment,Sadar Gopalganj,Gopalganj,Dhaka,23.008853,89.829160,reference,exact,https://doe.portal.gov.bd,"Est. 2020; SUB"
C-CAMS-22,DOE C-CAMS,Department of Environment,Sadar Tangail (DoE Office),Tangail,Dhaka,24.249796,89.929357,reference,exact,https://doe.portal.gov.bd,"Est. 2020; SUB"
C-CAMS-23,DOE C-CAMS,Department of Environment,Sadar Bogura (DoE Office),Bogura,Rajshahi,24.861779,89.361146,reference,exact,https://doe.portal.gov.bd,"Est. 2020; SUB"
C-CAMS-24,DOE C-CAMS,Department of Environment,BSCIC Tongi,Gazipur,Dhaka,23.894174,90.411210,reference,exact,https://doe.portal.gov.bd,"Est. 2020; Com/Industrial"
C-CAMS-25,DOE C-CAMS,Department of Environment,Dept of Chemical Engineering BUET,Dhaka,Dhaka,23.727591,90.392797,reference,exact,https://doe.portal.gov.bd,"Est. 2020; UB"
C-CAMS-26,DOE C-CAMS,Department of Environment,Sadar Brahmanbaria (Municipal Office),Brahmanbaria,Chattogram,23.974371,91.109769,reference,exact,https://doe.portal.gov.bd,"Est. 2020; SUB"
C-CAMS-27,DOE C-CAMS,Department of Environment,Sadar Feni (DoE Office),Feni,Chattogram,23.006297,91.381305,reference,exact,https://doe.portal.gov.bd,"Est. 2020; SUB"
C-CAMS-28,DOE C-CAMS,Department of Environment,Maijdi Bazar Noakhali (DoE Office),Noakhali,Chattogram,22.881148,91.096966,reference,exact,https://doe.portal.gov.bd,"Est. 2020; SUB"
C-CAMS-29,DOE C-CAMS,Department of Environment,BSRM Nasirabad,Chattogram,Chattogram,22.372838,91.818054,reference,exact,https://doe.portal.gov.bd,"Est. 2020; UB/Industrial"
C-CAMS-30,DOE C-CAMS,Department of Environment,Saymon Road Sadar Cox's Bazar (DoE Office),Cox's Bazar,Chattogram,21.442208,91.971083,reference,exact,https://doe.portal.gov.bd,"Est. 2020; SUB"
C-CAMS-31,DOE C-CAMS,Department of Environment,Nagar Bhaban DSCC,Dhaka,Dhaka,23.724075,90.409142,reference,exact,https://doe.portal.gov.bd,"Est. 2020; UB/Com"
