station_id,network,operator,name,city,division,lat,lon,monitor_type,coord_precision,source_url,notes
USEMB-1,US Embassy / AirNow,US Department of State,US Embassy Dhaka (BAM-1020),Dhaka,Dhaka,23.797500,90.426700,reference,approx,https://bd.usembassy.gov/air-quality-data/,"Beta-attenuation monitor on embassy compound, Madani Ave Baridhara; hourly PM2.5 on airnow.gov"
GAIA-01,GAIA A12 (aqicn),DoE + World Air Quality Index project,Department of Environment,Dhaka,Dhaka,23.777394,90.372603,low-cost,approx,https://aqicn.org/network/doebd/,"Co-located at CAMS-1 Agargaon"
GAIA-02,GAIA A12 (aqicn),DoE + World Air Quality Index project,Bangladesh Agricultural Research Council (BARC),Dhaka,Dhaka,23.759410,90.388679,low-cost,approx,https://aqicn.org/network/doebd/,"Co-located near CAMS-2 Farmgate"
GAIA-03,GAIA A12 (aqicn),DoE + World Air Quality Index project,National Institute of Mass Communication,Dhaka,Dhaka,23.784000,90.351000,low-cost,approx,https://aqicn.org/network/doebd/,"Darussalam/Gabtali area, near CAMS-3"
GAIA-04,GAIA A12 (aqicn),DoE + World Air Quality Index project,Dhirasram Road,Gazipur,Dhaka,23.968000,90.420300,low-cost,approx,https://aqicn.org/network/doebd/,"South Gazipur"
GAIA-05,GAIA A12 (aqicn),DoE + World Air Quality Index project,Khanpur Hospital,Narayanganj,Dhaka,23.615500,90.506000,low-cost,approx,https://aqicn.org/network/doebd/,"Khanpur 300-bed hospital area"
GAIA-06,GAIA A12 (aqicn),DoE + World Air Quality Index project,Atomic Energy Research Institute,Savar,Dhaka,23.953704,90.279794,low-cost,approx,https://aqicn.org/network/doebd/,"Co-located at CAMS-14"
GAIA-07,GAIA A12 (aqicn),DoE + World Air Quality Index project,Narsingdi Sadar Upazila Complex,Narsingdi,Dhaka,23.932456,90.716598,low-cost,approx,https://aqicn.org/network/doebd/,"Co-located at CAMS-15"
GAIA-08,GAIA A12 (aqicn),DoE + World Air Quality Index project,Bangladesh Television Chattogram Center,Chattogram,Chattogram,22.360487,91.800454,low-cost,approx,https://aqicn.org/network/doebd/,"Khulshi, co-located at CAMS-6"
GAIA-09,GAIA A12 (aqicn),DoE + World Air Quality Index project,Agrabad CDA Residential Area,Chattogram,Chattogram,22.323020,91.802336,low-cost,approx,https://aqicn.org/network/doebd/,"Co-located at CAMS-7"
